index,forecast_time,temperature,pressure,humidity,city,run_date
0,4/11/2019 3:00,69.28,1016.24,0.19,"34.0522,-118.2437",4/10/2019
1,4/11/2019 4:00,67.85,1016.68,0.2,"34.0522,-118.2437",4/10/2019
2,4/11/2019 5:00,66.8,1017.13,0.19,"34.0522,-118.2437",4/10/2019
3,4/11/2019 6:00,65.58,1017.84,0.22,"34.0522,-118.2437",4/10/2019
4,4/11/2019 7:00,64.53,1018.24,0.24,"34.0522,-118.2437",4/10/2019
5,4/11/2019 8:00,62.18,1018.27,0.29,"34.0522,-118.2437",4/10/2019
6,4/11/2019 9:00,60.52,1018.34,0.37,"34.0522,-118.2437",4/10/2019
7,4/11/2019 10:00,59.52,1018.18,0.39,"34.0522,-118.2437",4/10/2019
8,4/11/2019 11:00,58.48,1018.06,0.4,"34.0522,-118.2437",4/10/2019
9,4/11/2019 12:00,57.51,1018,0.42,"34.0522,-118.2437",4/10/2019
10,4/11/2019 13:00,56.86,1017.96,0.44,"34.0522,-118.2437",4/10/2019
11,4/11/2019 14:00,57.35,1017.94,0.43,"34.0522,-118.2437",4/10/2019
12,4/11/2019 15:00,60.31,1017.82,0.4,"34.0522,-118.2437",4/10/2019
13,4/11/2019 16:00,64.24,1017.81,0.36,"34.0522,-118.2437",4/10/2019
14,4/11/2019 17:00,68.11,1017.56,0.31,"34.0522,-118.2437",4/10/2019
15,4/11/2019 18:00,71.52,1016.73,0.25,"34.0522,-118.2437",4/10/2019
16,4/11/2019 19:00,74.44,1015.84,0.23,"34.0522,-118.2437",4/10/2019
17,4/11/2019 20:00,76.07,1014.69,0.23,"34.0522,-118.2437",4/10/2019
18,4/11/2019 21:00,77.41,1013.66,0.22,"34.0522,-118.2437",4/10/2019
19,4/11/2019 22:00,78.49,1012.47,0.22,"34.0522,-118.2437",4/10/2019
20,4/11/2019 23:00,78.89,1011.27,0.23,"34.0522,-118.2437",4/10/2019
21,4/12/2019 0:00,78.23,1010.21,0.24,"34.0522,-118.2437",4/10/2019
22,4/12/2019 1:00,76.9,1009.43,0.24,"34.0522,-118.2437",4/10/2019
23,4/12/2019 2:00,74.43,1008.91,0.25,"34.0522,-118.2437",4/10/2019
24,4/12/2019 3:00,72.57,1008.68,0.26,"34.0522,-118.2437",4/10/2019
25,4/12/2019 4:00,70.35,1008.8,0.27,"34.0522,-118.2437",4/10/2019
26,4/12/2019 5:00,68.26,1009.23,0.29,"34.0522,-118.2437",4/10/2019
27,4/12/2019 6:00,66.21,1009.35,0.32,"34.0522,-118.2437",4/10/2019
28,4/12/2019 7:00,64.53,1009.12,0.34,"34.0522,-118.2437",4/10/2019
29,4/12/2019 8:00,63.11,1008.75,0.36,"34.0522,-118.2437",4/10/2019
30,4/12/2019 9:00,61.62,1008.58,0.39,"34.0522,-118.2437",4/10/2019
31,4/12/2019 10:00,60.39,1008.43,0.41,"34.0522,-118.2437",4/10/2019
32,4/12/2019 11:00,58.96,1008.28,0.44,"34.0522,-118.2437",4/10/2019
33,4/12/2019 12:00,57.93,1008.17,0.45,"34.0522,-118.2437",4/10/2019
34,4/12/2019 13:00,57.22,1008.33,0.47,"34.0522,-118.2437",4/10/2019
35,4/12/2019 14:00,57.19,1008.85,0.47,"34.0522,-118.2437",4/10/2019
36,4/12/2019 15:00,59.02,1009.13,0.44,"34.0522,-118.2437",4/10/2019
37,4/12/2019 16:00,62.81,1009.3,0.38,"34.0522,-118.2437",4/10/2019
38,4/12/2019 17:00,67.12,1009.36,0.32,"34.0522,-118.2437",4/10/2019
39,4/12/2019 18:00,70.77,1009.24,0.28,"34.0522,-118.2437",4/10/2019
40,4/12/2019 19:00,73.97,1009.02,0.25,"34.0522,-118.2437",4/10/2019
41,4/12/2019 20:00,76.12,1008.68,0.23,"34.0522,-118.2437",4/10/2019
42,4/12/2019 21:00,77.37,1008.39,0.22,"34.0522,-118.2437",4/10/2019
43,4/12/2019 22:00,77.51,1007.87,0.21,"34.0522,-118.2437",4/10/2019
44,4/12/2019 23:00,77.15,1007.24,0.21,"34.0522,-118.2437",4/10/2019
45,4/13/2019 0:00,76.16,1006.9,0.22,"34.0522,-118.2437",4/10/2019
46,4/13/2019 1:00,75.06,1007.09,0.24,"34.0522,-118.2437",4/10/2019
47,4/13/2019 2:00,72.94,1007.62,0.26,"34.0522,-118.2437",4/10/2019
48,4/13/2019 3:00,71.08,1008.34,0.29,"34.0522,-118.2437",4/10/2019
0,4/11/2019 3:00,36.28,1017.25,0.52,"42.3601,-71.0589",4/10/2019
1,4/11/2019 4:00,35.48,1018.11,0.54,"42.3601,-71.0589",4/10/2019
